playerid,version_date,name,age,team,drc_warp,drc_plus,drc_sd,drc_raa,brr,fraa,g,pa,ab,r,h,b1,b2,b3,hr,rbi,sb,cs,bb,so,hbp,tb,avg,obp,slg,ops,iso,babip,salary
177,36800,Jim Edmonds,30,SLN,6.6,145,7,43.7,1.7,4.1,152,643,525,129,155,88,25,0,42,108,10,3,103,167,6,306,0.295,0.411,0.583,0.994,0.288,0.349,4500000
775,36800,Ken Griffey,30,CIN,6.3,133,8,32.6,-1.7,14.7,145,631,520,100,141,76,22,3,40,118,6,4,94,117,9,289,0.271,0.387,0.556,0.942,0.285,0.272,#N/A
538,36800,Edgardo Alfonzo,26,NYN,6.2,148,7,47.3,1.5,-1.4,150,650,544,109,176,109,40,2,25,94,3,2,95,70,5,295,0.324,0.425,0.542,0.967,0.219,0.332,4000000
404,36800,Vladimir Guerrero,25,MON,6.2,159,8,56.3,-3,0.1,154,641,571,101,197,114,28,11,44,123,9,10,58,74,8,379,0.345,0.41,0.664,1.074,0.319,0.335,3500000
981,36800,Carlos Delgado,28,TOR,6.1,170,8,72.5,-6.9,-8,162,711,569,115,196,97,57,1,41,137,0,1,123,104,15,378,0.344,0.47,0.664,1.134,0.32,0.362,6600000
1562,36800,Frank Thomas,32,CHA,6.1,163,9,65.6,-6.1,-2.4,159,707,582,115,191,104,44,0,43,143,1,3,112,94,5,364,0.328,0.436,0.625,1.061,0.297,0.327,7100000
717,36800,Brian Giles,29,PIT,5.9,143,9,45.4,1.6,-3,156,688,559,111,176,97,37,7,35,123,6,0,114,69,7,332,0.315,0.432,0.594,1.026,0.279,0.305,1616667
85,36800,Chipper Jones,28,ATL,5.8,140,8,42.4,3.8,-9.2,156,686,579,118,180,105,38,1,36,111,14,7,95,64,2,328,0.311,0.404,0.566,0.97,0.256,0.294,4750000
1564,36800,Jose Valentin,30,CHA,5.7,100,10,4.5,5.8,20.9,144,648,568,107,155,87,37,6,25,92,19,2,59,106,4,279,0.273,0.343,0.491,0.835,0.218,0.295,1320000
271,36800,Sammy Sosa,31,CHN,5.6,150,6,53,-5.1,-1.9,156,705,604,106,193,104,38,1,50,138,7,4,91,168,2,383,0.32,0.406,0.634,1.04,0.315,0.363,11000000
1423,36800,Bobby Higginson,29,DET,5.6,126,8,28,3,12.7,154,678,597,104,179,101,44,4,30,102,15,3,74,99,2,321,0.3,0.377,0.538,0.915,0.238,0.316,4425000
3,36800,Brad Ausmus,31,DET,5.5,89,10,-5.1,0.9,32.9,150,604,523,75,139,104,25,3,7,51,11,5,69,79,6,191,0.266,0.357,0.365,0.722,0.099,0.301,4000000
106,36800,Gary Sheffield,31,LAN,5.4,167,11,60.1,-2.8,-14.3,141,612,501,105,163,93,24,3,43,109,4,6,101,71,4,322,0.325,0.438,0.643,1.081,0.317,0.305,9916667
92,36800,Javy Lopez,29,ATL,5.2,105,11,6.9,-3.5,26,134,525,481,60,138,92,21,1,24,89,0,0,35,80,4,233,0.287,0.337,0.484,0.822,0.198,0.298,6250000
1163,36800,Edgar Martinez,37,SEA,5.1,155,11,54.4,-7.7,0.1,153,665,556,100,180,112,31,0,37,145,3,0,96,95,5,322,0.324,0.423,0.579,1.002,0.255,0.331,5400000
